t-SNE1,t-SNE2,Image,ecco_id,estc_id,total_price
-0.5668577,0.0065867766,055030030000010,550300300,T81955,42.0
1.4907888,-0.5480837,036220180000980,362201800,T133351,18.0
0.9308992,-1.5120324,123130120000350,1231301200,N9842,12.0
0.9308992,-1.5120324,123130120000350,1231301200,N9842,12.0
0.9308992,-1.5120324,123130120000350,1231301200,N9842,12.0
-0.57778645,1.5552974,157060010102770,1570600101,T59882,600.0
-0.22352725,1.5087721,157060010103280,1570600101,T59882,600.0
-0.4522353,1.1233734,086020050000010,860200500,T84736,90.0
-0.1474088,1.6182082,157060010200160,1570600102,T59882,600.0
-0.3303603,1.350959,042250060000010,422500600,T85880,24.0
1.8137498,-0.64124954,036220180001890,362201800,T133351,18.0
-0.4236815,1.6719877,157060010203190,1570600102,T59882,600.0
-1.0628076,-0.8201087,171230130101250,1712301301,T77908,90.0
-1.0628076,-0.8201087,171230130101250,1712301301,T77908,90.0
-0.6118467,-0.31125513,171230130100970,1712301301,T77908,90.0
-0.6118467,-0.31125513,171230130100970,1712301301,T77908,90.0
-0.86395794,-1.0592171,171230130100860,1712301301,T77908,90.0
-0.86395794,-1.0592171,171230130100860,1712301301,T77908,90.0
0.2172706,0.14309415,086730020000500,867300200,T66029,54.0
0.2172706,0.14309415,086730020000500,867300200,T66029,54.0
-0.025864113,-0.60340875,126280120000110,1262801200,N3839,60.0
-0.025864113,-0.60340875,126280120000110,1262801200,N3839,60.0
0.88764644,-1.5238365,123130120000340,1231301200,N9842,12.0
0.88764644,-1.5238365,123130120000340,1231301200,N9842,12.0
1.8490529,-0.7214692,036220180002090,362201800,T133351,18.0
-0.6904938,1.2632483,155720010201510,1557200102,T192639,756.0
-0.2796031,1.0613784,166600120000280,1666001200,T143856,9.0
1.4012341,-0.7162038,036220180000230,362201800,T133351,18.0
1.7908839,-0.71569574,036220180001480,362201800,T133351,18.0
0.552267,0.114560336,086730020000950,867300200,T66029,54.0
1.5474795,-0.6859272,036220180001080,362201800,T133351,18.0
-0.31064382,1.1144131,133230130001690,1332301300,N36448,36.0
-0.5983253,0.86640173,133230130001660,1332301300,N36448,36.0
1.3214959,-0.6677671,036220180001830,362201800,T133351,18.0
-0.3252111,0.48669535,081130040005670,811300400,T82160,252.0
0.24110398,2.1625056,155720010102090,1557200101,T192639,756.0
-0.35193697,-0.8764142,126280120000680,1262801200,N3839,60.0
-0.35193697,-0.8764142,126280120000680,1262801200,N3839,60.0
